bestbuy_sku,bb_name,bb_model,bb_upc,bb_regular_price,bb_sale_price,bb_on_sale,bb_dollar_savings,bb_percent_savings,bb_price_updated,bb_url
6668647,"ASUS - ROG Swift 27"" Dual Mode (2K 540Hz, FHD 720Hz) OLED 0.02ms Gaming Monitor with FreeSync Premium Pro and HDR - Silver",PG27AQWP-W,199291216419,1099.99,1099.99,False,0.0,0.0,2026-02-22T00:00:26,https://api.bestbuy.com/click/-/6668647/pdp
6623962,"MSI - MPG 272URX QD-OLED 27"" Quantum Dot OLED UHD 240Hz 0.03ms FreeSyncPremium Monitor with HDR400 (DisplayPort, HDMI, USB) - Black",MPG 272URX QD-OLED,824142388471,999.99,899.99,True,100.0,10.0,2026-04-11T06:40:55,https://api.bestbuy.com/click/-/6623962/pdp
6613925,"MSI - MPG 321URXW QD-OLED 32"" Quantum Dot OLED UHD 240Hz 0.03ms Gaming Monitor with HDR400 (DisplayPort, HDMI, USB) - Metallic White",MPG 321URXW QD-OLED,824142385449,999.99,899.99,True,100.0,10.0,2026-04-03T06:56:20,https://api.bestbuy.com/click/-/6613925/pdp
6619365,"Samsung - 27"" Odyssey OLED G8 (G81SF), 4K UHD, 240Hz, 0.03ms, AMD FreeSync Premium Pro, Glare Free, HDR 400 Gaming Monitor - Silver",LS27FG810SNXZA,887276931982,1299.99,1299.99,False,0.0,0.0,2026-04-06T00:04:32,https://api.bestbuy.com/click/-/6619365/pdp
6606085,"Alienware - AW2725QF 27"" IPS LED 4K UHD 180Hz .5-ms G-SYNC Compatible Dual-Resolution Gaming Monitor with HDR (HDMI, DisplayPort) - Black",AW2725QF,884116469711,499.99,499.99,False,0.0,0.0,2026-03-16T00:05:13,https://api.bestbuy.com/click/-/6606085/pdp
6614908,"MSI - MPG 322URX QD-OLED 32"" Quantum Dot OLED UHD 240Hz 0.03ms Gaming Monitor with HDR400 (DisplayPort 2.1a, HDMI, USB) - Black",MPG 322URX QD-OLED,824142383117,1199.99,999.99,True,200.0,16.67,2026-03-23T06:25:42,https://api.bestbuy.com/click/-/6614908/pdp
6617199,"AOC - 27"" Q27G40XMN Mini-LED, QHD, 180hz Gaming Monitor - Black",Q27G40XMN,685417739684,299.99,199.99,True,100.0,33.33,2026-04-06T00:04:23,https://api.bestbuy.com/click/-/6617199/pdp
6640501,"Alienware - AW2725Q 27"" QD-OLED 4K UHD 240Hz 0.03-ms FreeSync Premium Pro and G-SYNC Gaming Monitor with HDR (HDMI, DisplayPort) - Interstellar Indigo",AW2725Q,884116493297,899.99,699.99,True,200.0,22.22,2026-04-07T15:22:19,https://api.bestbuy.com/click/-/6640501/pdp
6576568,"MSI - MPG271QRXQDOLED 27"" Quantum Dot OLED QHD 360Hz 0.03ms FreeSyncPremium Monitor with HDR400 (DisplayPort, HDMI, USB) - Black",MPG 271QRX QD-OLED,824142343685,699.99,629.99,True,70.0,10.0,2026-02-23T00:02:45,https://api.bestbuy.com/click/-/6576568/pdp
6573635,"LG - UltraGear 27"" OLED QHD 240Hz 0.03ms FreeSync and NVIDIA G-SYNC Compatible Gaming Monitor with HDR400 - Black",27GS95QE-B,195174073391,899.99,629.99,True,270.0,30.0,2025-12-18T02:01:16,https://api.bestbuy.com/click/-/6573635/pdp
6573686,"Samsung - 32"" Odyssey OLED G8 (G80SD) 4K UHD 240Hz 0.03ms Smart Gaming Monitor with HDR - Silver",LS32DG802SNXZA,887276831022,1299.99,1299.99,False,0.0,0.0,2026-04-06T00:02:49,https://api.bestbuy.com/click/-/6573686/pdp
6619487,"Alienware - AW3225DM 32"" VA LED Curved QHD 180Hz 1ms FreeSync Gaming Monitor with HDR (HDMI, DisplayPort) - Interstellar Indigo",AW3225DM,884116492757,319.99,259.99,True,60.0,18.75,2026-04-07T15:21:11,https://api.bestbuy.com/click/-/6619487/pdp
6576612,"Alienware - AW3225QF 32"" QD-OLED Curved 4K UHD 240Hz .03-ms G-SYNC Compatible Gaming Monitor with HDR (HDMI, USB-C) - Lunar Light",AW3225QF,884116467175,999.99,899.99,True,100.0,10.0,2026-04-07T15:21:11,https://api.bestbuy.com/click/-/6576612/pdp
6573717,"Samsung - 27” Odyssey G50D QHD IPS 180Hz 1ms AMD FreeSync and G-Sync Compatible Gaming Monitor with HDR 400 (DisplayPort, HDMI) - Black",LS27DG500ENXZA,887276818511,349.99,229.99,True,120.0,34.29,2026-04-13T00:03:16,https://api.bestbuy.com/click/-/6573717/pdp
6501568,Apple - Studio Display - Standard glass - Tilt-adjustable stand - Silver,MYJG3LL/A / MK0U3LL/A,195949764769,1599.99,1599.99,False,0.0,0.0,2025-11-26T09:29:45,https://api.bestbuy.com/click/-/6501568/pdp
