amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max
B07TD94TQF,"LG 27GL850-B 27 Inch Ultragear QHD Nano IPS 1ms NVIDIA G-Sync Compatible Gaming Monitor, Black",LG,,335.0,,335.0,8913.0,335.0,341.6666666666667,345.0,635.0,335.0,335.0,335.0,1111.0,,,
B07YGZL8XF,"LG 27GL83A-B 27-Inch Ultragear QHD 2560 x 1440 IPS Gaming Monitor, 144Hz, 1ms (GtG), NVIDIA G-SYNC, AMD FreeSync, HDR10, HDMI, DisplayPort, Tilt/Height/Pivot Adjustable Stand, Black",LG,,266.0,,266.0,1891.0,199.99,297.39508771929826,345.29,661.0,199.99,258.7652173913043,299.95,2656.0,273.44,278.81333333333333,289.0
B07WQ4FXY9,"ASUS TUF Gaming 27"" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI,Black",ASUS,268.03,260.96,,260.96,2261.0,234.0,255.60666666666668,279.99,3618.0,234.0,262.3805741626794,279.99,7552.0,246.78,273.50547008547005,279.99
B088MLC8PH,"ASUS TUF Gaming VG27AQL1A 27” HDR Monitor, 1440P WQHD (2560 x 1440), 170Hz (Supports 144Hz), IPS, 1ms, G-SYNC Compatible, Extreme Low Motion Blur Sync, HDR400, 130% sRGB, Eye Care, HDMI DisplayPort",ASUS,,279.99,,279.99,1219.0,279.99,303.6611111111111,334.99,1015.0,299.0,305.745,324.99,6855.0,,,
B08DWD38VX,"LG UltraWide QHD 34-Inch Computer Monitor 34WP65C-B, VA with HDR 10 Compatibility and AMD FreeSync Premium, Black",LG,,679.99,,679.99,1106.0,679.99,679.99,679.99,1982.0,,,,5472.0,,,
B093MTSTKD,LG 27GP850-B Ultragear Gaming Monitor 27-Inch QHD (2560 x 1440) Nano IPS Display 1ms Response Time 165Hz Refresh Rate NVIDIA G-SYNC Compatible AMD FreeSync Premium Tilt/Height/Pivot Adjustable Stand,LG,,374.0,,377.0,1256.0,357.52,373.20272727272726,379.99,6478.0,357.52,385.8154117647059,461.45,11557.0,,,
B095X7RV77,"Dell S3422DWG Curved Gaming Monitor - 34 Inch 1800R Curved Screen with 144Hz Refresh Rate, WQHD (3440 x 1440) Display, HDMI, DP to DP 1.4 Cable, AMD FreeSync - Black",Dell,,,,,1658.0,371.62,389.6983333333333,399.99,3202.0,,,,5391.0,371.62,389.6983333333333,399.99
B09DTDRJWP,"Dell S2722QC Monitor - 27 inch 4K USB-C , UHD (3840 x 2160) Display, 60Hz Refresh Rate, 8MS Grey-to-Grey Response Time, Built-in Dual 3W Speakers, 1.07 Billion Colors - Platinum Silver",Dell,,379.99,,379.99,3766.0,329.99,403.23395833333325,469.99,5196.0,329.99,356.9176923076923,379.99,9349.0,336.27,357.755,369.99
B09V3GZD32,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand,Apple,,1598.0,,1598.0,434.0,1479.0,1600.1515384615386,1679.99,563.0,,,,837.0,,,
B0DZDBCH95,Apple Studio Display - Standard Glass - VESA Mount Adapter ​​​​​​​,Apple,,,,,38.0,1599.0,1599.0,1599.0,41.0,1599.0,1599.0,1599.0,63.0,1599.0,1599.0,1599.0
B09V3HMZW5,Apple Studio Display - Standard Glass - Tilt- and Height-Adjustable Stand ​​​​​​​,Apple,,1962.99,,,262.0,1849.0,1935.5528571428572,1979.0,333.0,,,,988.0,,,
B09V4NSYN4,,,,,,,1.0,,,,1.0,,,,,,,
B09V3JYGZ6,Apple Studio Display - Nano-Texture Glass - VESA Mount Adapter,Apple,,,,,155.0,1699.0,1841.7707142857143,1979.7,228.0,1699.0,1815.8071428571427,1899.0,516.0,1699.0,1799.0,1899.0
B09V4FZ41B,,,,,,,1.0,,,,1.0,,,,,,,
B0B1319VJ4,"Dell G3223Q Gaming Monitor - 32-Inch 4K Ultra UHD (3840x2160), 144Hz 1Ms Display, AMD FreeSync+NVIDIA G-SYNC Compatible, Height/Swivel/Tilt Adjustability, 3Yr Advanced Exchange - Black",Dell,499.99,499.99,,499.99,700.0,499.99,649.5856140350877,1014.67,796.0,499.99,632.5821621621624,691.99,2293.0,499.99,647.5210204081633,691.99
B09ZH3WM47,"Samsung 32"" Odyssey Neo G8 (G85NB) 4K UHD 240Hz 1ms G-Sync 1000R Curved Gaming Monitor, Quantum HDR2000, AMD FreeSync Premium Pro, Matte Display, DisplayPort, Black & White, LS32BG852NNXGO",Samsung,1065.99,1065.99,,1065.99,2028.0,699.99,944.6819999999997,1299.99,2568.0,699.99,937.58675,1299.99,5295.0,800.21,1040.8928,1299.99
B0BZRBYLP1,"ASUS ROG Swift 27”1440P OLED DSC Gaming Monitor (PG27AQDM) - QHD (2560x1440), 240Hz, 0.03ms, G-SYNC Compatible, Anti-Glare Micro-Texture Coating, 99% DCI-P3, True 10-bit, DisplayPort,Black",ASUS,,1094.98,,,335.0,703.11,940.147142857143,1094.98,315.0,703.11,733.7033333333334,749.0,1020.0,703.11,733.7033333333334,749.0
B0BS1PLJB8,"Corsair 45-Inch 240Hz OLED Gaming Monitor - 3440x1440, 0.03ms Response, G-SYNC/FreeSync Compatible",Corsair,,,,,347.0,,,,343.0,,,,610.0,,,
B0C48D7Q22,"Samsung 49"" Odyssey OLED G9 (G95SC) Curved Smart Gaming Monitor, QD-OLED, 240Hz, 0.03ms, FreeSync Premium Pro, G-Sync Compatible, Dual QHD, Neo Quantum Processor, LS49CG954SNXZA",Samsung,,2040.82,,,466.0,1799.99,2015.6138235294115,2040.82,685.0,1099.99,1566.6566666666668,1799.99,1069.0,1799.99,1799.99,1799.99
B0BYGL52YQ,"SAMSUNG 27-Inch Odyssey G51C Series QHD Gaming Monitor, 165Hz, 1ms, VESA Display HDR10, AMD FreeSync Premium, Black Equalizer, Virtual Aim Point, LS27CG512ENXZA",Samsung,,312.99,,312.99,584.0,284.51,321.1875,343.99,609.0,284.51,296.3911111111112,313.51,1596.0,,,
B0CCW7JLYH,"Alienware AW2724DM Gaming Monitor - 27"" QHD (2560 x 1440) 180Hz w Overclock, AMD FreeSync Premium Pro, NVIDIA G-SYNC, VESA Display - Black,Black/Silver",Alienware,,289.94,,,716.0,199.99,283.925,304.98,799.0,274.99,299.92606741573036,304.99,5793.0,199.99,320.765,364.84
B0C633799X,"LG 32"" Ultragear 4K UHD (3840x2160) Gaming Monitor, 144Hz, 1ms, VESA DisplayHDR 400, G-SYNC and AMD FreeSync Premium, HDMI 2.1, DisplayPort, 4-Pole HP Out DTS HP:X, Tilt/Height/Pivot Stand, Black",LG,599.99,599.99,,,744.0,552.72,565.2758620689655,599.99,596.0,552.72,561.0084210526314,567.37,2590.0,552.72,564.872,599.99
B0C63B9CZX,"LG 27"" Ultragear 4K UHD (3840x2160) Gaming Monitor, 144Hz, 1ms, VESA DisplayHDR 400, G-SYNC and AMD FreeSync Premium, HDMI 2.1, DisplayPort, 4-Pole HP Out DTS HP:X, Tilt/Height/Pivot Stand, Black",LG,,772.32,,,519.0,772.32,772.325,772.33,673.0,,,,2503.0,,,
B0C63HDHPR,"LG 27GR83Q-B 27-inch Ultragear QHD (2560x1440) IPS Gaming Monitor, 240Hz, 1ms, DisplayHDR 400, G-Sync AMD FreeSync Premium, HDMI 2.1 DisplayPort, 4-Pole HP Out DTS GP:X, Tilt/Height/Pivot Stand, Black",LG,489.99,329.99,,334.95,1401.0,289.99,314.05857142857144,344.0,1265.0,289.99,324.59404411764706,496.99,6207.0,289.99,428.9338297872341,499.0
B0CDQM55C9,"Samsung 57"" Odyssey Neo G9 (G95NC) Series Dual 4K UHD 1000R Curved Gaming Monitor, 240Hz, 1ms with DisplayPort 2.1, Quantum Mini-LED, DisplayHDR 1000, AMD FreeSync Premium Pro, LS57CG952NNXZA",Samsung,1599.99,1599.99,,1599.99,402.0,1449.99,1773.7139622641514,2299.99,550.0,1449.99,1784.0241176470586,2299.99,1354.0,1480.18,1805.1174074074074,2299.99
B0BQPSX5CR,"ASUS ProArt Display 27” 4K HDR Professional Monitor (PA279CRV) - IPS, UHD (3840 x 2160), 99% DCI-P3/Adobe RGB, ΔE < 2, Calman Verified, USB-C PD 96W, DisplayPort, Daisy-Chain, Ergonomic, 3yr Warranty",ASUS,359.0,359.0,,359.0,327.0,339.98,381.6383333333333,429.0,583.0,339.98,376.2775,429.0,832.0,347.36,382.72200000000004,429.0
B0C8ZJKPWC,"AOC Q27G3XMN 27"" QHD Gaming Monitor, 2560x1440, Mini LED, 180Hz 1ms GtG, HDR 1000, sRGB137.5%, HDMI 2.0 x 1, DisplayPort 1.4 x1, Adaptive Sync, 3-Year Zero-Bright-dot",AOC,269.99,269.99,,269.99,194.0,269.99,290.99,299.99,194.0,269.99,295.82333333333327,299.99,388.0,269.99,288.3233333333333,299.99
B0CC7S6P3K,"ASUS ROG Swift Pro PG248QP NVIDIA G-SYNC esports gaming monitor -24.1-inch FHD, 540 Hz (OC), Esports-TN panel, NVIDIA Reflex Analyzer, ULMB 2, adjustable base, ESS codec, DisplayHDR400, 3year warranty",ASUS,,,,,187.0,,,,233.0,,,,429.0,,,
B0CZSGWLD5,"Alienware AW2725DF OLED Gaming Monitor - 26.7-inch Quantom-Dot WQHD (2560x1440) 360Hz 0.03Ms Display, AMD FreeSync Premium Pro, HDMI/DP/USB 3.2 Gen1, Height/Tilt/Swivel/Pivot Adjustability - Black",Alienware,599.99,596.0,,596.0,719.0,499.99,607.474074074074,636.99,639.0,596.0,625.2947663551403,649.99,3180.0,499.99,632.2313559322033,649.99
B0CSGWXVBN,LG ‎27GS95QE 27-inch Ultragear OLED Gaming Monitor QHD 1440p 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,679.99,679.99,,679.99,1110.0,593.05,656.8522535211266,749.99,1265.0,593.2,688.9020202020201,749.99,3228.0,593.05,692.8630612244898,896.99
B0BVWMSP1V,"LG Electronics 27GR75Q-B Ultragear Gaming Monitor 68.5 cm (27""), 2560 x 1.440, 16:9, WQHD 1440p, 99% sRGB, HDR10, 165 Hz, 1ms GtG - Black",LG,,329.9,,329.9,1.0,250.0,332.53875,394.78,598.0,250.0,325.84233333333333,396.99,3036.0,,,
B0CTS1RQ6Y,"msi MPG 271QRX QD-OLED, 27 OLED Gaming Monitor, 2560 x 1440 (QHD), 0.03ms Response time, 360Hz, True Black HDR 400, HDMI, DP Port, USB Type C, Tilt, Height, Black",msi,629.99,629.99,,629.99,198.0,629.99,678.358198757764,700.82,669.0,,,,405.0,629.99,629.99,629.99
B0D1TX35MQ,"Dell UltraSharp U4025QW 40"" Class 5K2K WUHD Curved Screen LED Monitor - 21:9",Dell,,2290.0,,,414.0,1531.2,2152.3477391304345,2599.0,1032.0,1531.2,2056.31,2299.99,3834.0,,,
B0CV27X9K7,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,,799.99,,799.99,796.0,649.99,795.3627272727273,1296.99,1735.0,696.99,829.0229310344827,1296.99,3493.0,649.99,891.8115555555555,1296.99
B0DCWMS4HC,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand White,LG,1063.53,1063.53,,1063.53,292.0,881.38,979.8637500000001,1063.53,329.0,899.99,1004.7399999999997,1063.99,861.0,899.99,1106.87,1296.99
B0CV26XVMD,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C",ASUS,999.0,999.0,,999.0,622.0,941.19,1088.92,1299.0,851.0,941.2,1190.4750420168061,1298.74,2071.0,945.36,1210.9985000000001,1299.0
