product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,price_date
912,2223,27.0,,,349.99,rtings,,,,,,349.99,1741.5184626513137,2026-04-13
912,8028,27.0,B07YGZL8XF,,279.0,amazon_3p,,,279.0,,,279.0,1388.2786681897096,2026-04-13
1640,2370,27.0,B07WQ4FXY9,,234.0,amazon_3p,249.65,,241.98,,,249.65,1164.362753965563,2026-04-13
15402,3523,27.0,B088MLC8PH,,,,,,279.99,,,279.99,,2026-04-13
18229,4143,34.0,B08DWD38VX,,679.99,amazon_3p,,,679.99,,,749.99,2518.175286803697,2026-04-13
24452,5087,27.0,B093MTSTKD,,379.99,amazon_3p,,,379.99,,,499.99,1890.7957388007449,2026-04-13
24452,8030,27.0,,,399.99,rtings,,,,,,399.99,1990.3139229003657,2026-04-13
24247,5272,34.0,B095X7RV77,,396.99,rtings,,,,,,396.99,1470.154571549875,2026-04-13
28689,5903,27.0,B09DTDRJWP,,,,,,379.99,,,379.99,,2026-04-13
32280,6372,27.0,B0DZDKFHYT,6501568,1599.99,bestbuy,,,,1599.99,1599.99,1599.99,7961.404968877611,2026-04-13
32280,6373,27.0,B0DZDBCH95,,,,,,,,,,,2026-04-13
32280,6374,27.0,B0DZDXLQFH,,1999.0,rtings,,,,,,1999.0,9946.842500757095,2026-04-13
32280,6375,27.0,B09V4NSYN4,,1829.0,rtings,,,,,,1829.0,9100.937935910319,2026-04-13
32280,6376,27.0,B09V3JYGZ6,,,,,,,,,,,2026-04-13
32280,6377,27.0,B09V4FZ41B,,2299.0,rtings,,,,,,2299.0,11439.615262251407,2026-04-13
32378,6458,32.0,B0B1319VJ4,,499.99,amazon,499.99,,499.99,,,649.99,1771.174444177231,2026-04-13
33691,6841,32.0,,,1099.99,rtings,,,,,,1099.99,3896.626286226749,2026-04-13
33710,6864,32.0,B09ZH3WM47,,899.99,amazon,899.99,,899.99,,,899.99,3188.1423388769094,2026-04-13
37157,8367,27.0,B0BZRBYLP1,,1094.98,amazon_3p,,,,,,749.0,5448.521061270138,2026-04-13
37125,8574,45.0,B0BS1PLJB8,,,,,,,,,,,2026-04-13
37853,8656,49.0,B0C48D7Q22,,2040.82,amazon_3p,,,,,,1799.99,5054.927122152361,2026-04-13
39538,8687,27.0,B0BYGL52YQ,,312.99,amazon_3p,,,312.99,,,249.99,1557.4098220670153,2026-04-13
40848,8762,27.0,B0CCW7JLYH,,304.08,amazon_3p,,,,,,402.49,1513.074471050634,2026-04-13
40717,8974,32.0,B0C633799X,,599.99,amazon,599.99,,599.99,,,599.99,2125.4164178521505,2026-04-13
40716,9172,27.0,B0C63B9CZX,,772.32,amazon_3p,,,,,,499.99,3842.9941971909557,2026-04-13
39860,9342,27.0,,,584.99,rtings,,,,,,584.99,2910.8571258218576,2026-04-13
41927,9423,27.0,B0C63HDHPR,,289.99,amazon,289.99,,289.99,,,289.99,1442.9639103524514,2026-04-13
37854,9467,57.0,B0CDQM55C9,,1599.99,amazon,1599.99,,1599.99,,,1599.99,2928.6664628397484,2026-04-13
38128,9552,27.0,B0BQPSX5CR,,399.0,amazon,399.0,,399.0,,,399.0,1985.3877727874344,2026-04-13
41611,9793,27.0,B0C8ZJKPWC,,299.99,amazon,299.99,,299.99,,,299.99,1492.7230024022617,2026-04-13
38126,9949,24.0,B0CC7S6P3K,,,,,,,,,,,2026-04-13
46677,9966,32.0,,6576612,899.99,bestbuy,,,,899.99,999.99,899.99,3188.1423388769094,2026-04-13
46678,10003,27.0,B0CZSGWLD5,,636.99,amazon_3p,640.78,,640.78,,,640.78,3169.604404480872,2026-04-13
49556,10182,27.0,B0CSGWXVBN,6573635,629.99,bestbuy,896.99,,749.95,629.99,899.99,629.99,3134.7730400460046,2026-04-13
44761,10433,27.0,,,299.99,rtings,,,,,,299.99,1492.7230024022617,2026-04-13
47131,10441,27.0,,6576568,629.99,bestbuy,,,,629.99,699.99,629.99,3134.7730400460046,2026-04-13
49534,10548,40.0,B0D1TX35MQ,,2371.55,amazon_3p,,,,,,,5376.656337080036,2026-04-13
56054,10552,34.0,B0CV27X9K7,,799.99,amazon_3p,,,799.99,,,799.99,2962.5656960986034,2026-04-13
