product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,rtings_price,availability
912,2223,,,,349.99,in_stock
912,8028,,B07YGZL8XF,,279.0,third_party
1640,2370,,B07WQ4FXY9,,249.65,amazon
15402,3523,,B088MLC8PH,,279.99,out_of_stock
18229,4143,,B08DWD38VX,,749.99,in_stock
24452,5087,,B093MTSTKD,,499.99,in_stock
24452,8030,,,,399.99,in_stock
24247,5272,,B095X7RV77,,396.99,in_stock
28689,5903,,B09DTDRJWP,,379.99,out_of_stock
32280,6372,,B0DZDKFHYT,6501568,1599.99,in_stock
32280,6373,,B0DZDBCH95,,,out_of_stock
32280,6374,,B0DZDXLQFH,,1999.0,in_stock
32280,6375,,B09V4NSYN4,,1829.0,in_stock
32280,6376,,B09V3JYGZ6,,,out_of_stock
32280,6377,,B09V4FZ41B,,2299.0,in_stock
32378,6458,,B0B1319VJ4,,649.99,in_stock
33691,6841,,,,1099.99,in_stock
33710,6864,,B09ZH3WM47,,899.99,amazon
37157,8367,,B0BZRBYLP1,,749.0,available
37125,8574,,B0BS1PLJB8,,,no_link
37853,8656,,B0C48D7Q22,,1799.99,in_stock
39538,8687,,B0BYGL52YQ,,249.99,in_stock
40848,8762,,B0CCW7JLYH,,402.49,in_stock
40717,8974,,B0C633799X,,599.99,in_stock
40716,9172,,B0C63B9CZX,,499.99,in_stock
39860,9342,,,,584.99,in_stock
41927,9423,,B0C63HDHPR,,289.99,amazon
37854,9467,,B0CDQM55C9,,1599.99,amazon
38128,9552,,B0BQPSX5CR,,399.0,amazon
41611,9793,,B0C8ZJKPWC,,299.99,amazon
38126,9949,,B0CC7S6P3K,,,out_of_stock
46677,9966,,,6576612,899.99,in_stock
46678,10003,,B0CZSGWLD5,,640.78,amazon
49556,10182,,B0CSGWXVBN,6573635,629.99,in_stock
44761,10433,,,,299.99,in_stock
47131,10441,,,6576568,629.99,in_stock
49534,10548,,B0D1TX35MQ,,,direct_link
56054,10552,,B0CV27X9K7,,799.99,third_party
56054,11751,,B0DCWMS4HC,,1063.53,amazon
49896,10746,,,,,no_link
42065,10747,,B0CV26XVMD,,945.36,amazon
51510,10801,,B0D1RL9D39,,,out_of_stock
62843,10849,,,,,no_link
49551,10904,,B0CV1Y7NLT,,1399.99,in_stock
63129,10918,,B0D1DPFZLZ,,699.99,amazon
63127,10920,,B0D1DSXW17,6573686,1299.99,in_stock
63127,11889,,B0DHJ8B7TP,,1045.32,amazon
47132,10992,,B0CTSC3VS4,,871.95,amazon
47132,12128,,B0DPXYZYPT,6613925,899.99,in_stock
61784,11038,,B0CZWM44QP,,559.99,amazon
61784,11707,,,,,no_link
58174,11055,,B0D3WVN6LH,,1499.99,in_stock
60445,11430,,B0CW7TM2FR,6573717,229.99,in_stock
49884,11438,,B0D7NNK43H,,899.99,amazon
56501,11550,,B0CV24GQ9W,,269.0,amazon
56501,11655,,,,,no_link
49885,11791,,B0D7NXSQ44,,699.0,amazon
64783,11812,,B0D685SYKN,,749.99,amazon
63122,11836,,B0D1DBQRRS,,499.99,in_stock
76425,11849,,B0D9R8YPK3,,,direct_link
48867,11971,,,,899.99,in_stock
77107,12087,,B0DGMQ2M1G,,,out_of_stock
72294,12115,,B0D7NSZRJW,,719.99,amazon
71604,12187,,,,,no_link
60431,12205,,,,,no_link
82807,12207,,B0DMPTN8DG,,693.5,amazon
84697,12213,,B0DTJRWVVW,6614908,999.99,in_stock
41303,12278,,B0CXW2BH8C,,,out_of_stock
70557,12322,,B0D682HF6R,,499.99,amazon
88031,12333,,B0DM6SHQTN,,1099.99,amazon
88589,12349,,B0F18Q2GPN,,645.99,third_party
88590,12350,,B0FDCLPZC6,,779.0,third_party
52472,12371,,B0CT441B25,,899.99,third_party
88487,12372,,,6640501,699.99,in_stock
81301,12383,,B0D6C6F2L8,,736.99,amazon
83695,12577,,B0DYG9DKX8,,1576.99,amazon
88035,12578,,B0DWBSNVHS,,1655.99,amazon
97969,13639,,,6617199,199.99,in_stock
96004,13718,,B0DZL719V1,,349.99,amazon
